dept_name,Misson,Objective 1,Objective 2, ,FTE,image,
City Council  ,Cheeseburgers make your knees weak and your soul tingle.,A great cheeseburger is a gastronomical event with so many varieties you couldn’t get tired of it if you tried.,There’s cheesy incarnation waiting for you no matter what your palate preferences are.,"Unless you’re vegan, in which case we’re sorry for your loss.",7,https://images.unsplash.com/photo-1542744173-8e7e53415bb0?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170,Photo by Campaign Creators on Unsplash
Board of Elections  ,"Bacon ipsum dolor amet alcatra chuck prosciutto short loin capicola, short ribs burgdoggen ham chislic fatback pig flank kevin pork belly ribeye.",Doner beef fatback salami shankle rump. Fatback turducken filet mignon t-bone short loin pastrami. ,"Turducken spare ribs sausage fatback. Frankfurter buffalo ham hock meatloaf cupim sausage, prosciutto beef flank ground round. ","Tongue pork loin tail, alcatra jerky leberkas fatback hamburger chicken.",5,https://images.unsplash.com/photo-1540910419892-4a36d2c3266c?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070,Photo by Element5 Digital on Unsplash
Comptroller  ,"Window-licker. Optics high turnaround rate. Land it in region copy and paste from stack overflow or horsehead offer, for gage [sic] where the industry is heading",give back to the community what weâ€™ve learned. Quarterly sales are at an all-time low value prop,"let's circle back to that. Teams were able to drive adoption and awareness curate, yet you must be muted",,12,https://images.unsplash.com/photo-1564939558297-fc396f18e5c7?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=871,Photo by StellrWeb on Unsplash
Courts,"No need to talk to users, just base it on the space calculator","ping the boss and circle back or locked and loaded,",yet feed the algorithm blue sky thinking,Hard stop data-point a loss a day will keep you focus,5,,
Employees' Retirement Systems  ,"No need to talk to users, just base it on the space calculator","ping the boss and circle back or locked and loaded,",yet feed the algorithm blue sky thinking,Hard stop data-point a loss a day will keep you focus,34,https://images.unsplash.com/photo-1473186578172-c141e6798cf4?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1373,Photo by Aaron Burden on Unsplash
Finance  ,Let us wax poetic about the beauty of the cheeseburger. The flavour gracefully dances across your palate like a majestic figure skater on ice.,"They say you’re never supposed to meet your idols. In this case, it’s a good thing your idol is inanimate.",Cheeseburgers are never going to give you up or let you down. They’ll also never run around or desert you.,"They’ll never make you cry, unless it’s from sheer joy. Cheeseburgers certainly won’t say goodbye either.",24,https://images.unsplash.com/photo-1564939558297-fc396f18e5c7?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=871,Photo by StellrWeb on Unsplash
Fire  ,Cheeseburgers make your knees weak and your soul tingle.,A great cheeseburger is a gastronomical event with so many varieties you couldn’t get tired of it if you tried.,There’s cheesy incarnation waiting for you no matter what your palate preferences are.,"Unless you’re vegan, in which case we’re sorry for your loss.",24,https://images.unsplash.com/photo-1586470202424-a6f766679b45?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=774,Photo by Obi - @pixel6propix on Unsplash
General Services  ,"Bacon ipsum dolor amet alcatra chuck prosciutto short loin capicola, short ribs burgdoggen ham chislic fatback pig flank kevin pork belly ribeye.",Doner beef fatback salami shankle rump. Fatback turducken filet mignon t-bone short loin pastrami. ,"Turducken spare ribs sausage fatback. Frankfurter buffalo ham hock meatloaf cupim sausage, prosciutto beef flank ground round. ","Tongue pork loin tail, alcatra jerky leberkas fatback hamburger chicken.",15,,
Health  ,"Window-licker. Optics high turnaround rate. Land it in region copy and paste from stack overflow or horsehead offer, for gage [sic] where the industry is heading",give back to the community what weâ€™ve learned. Quarterly sales are at an all-time low value prop,"let's circle back to that. Teams were able to drive adoption and awareness curate, yet you must be muted",,5,,
Housing and Community Development  ,"No need to talk to users, just base it on the space calculator","ping the boss and circle back or locked and loaded,",yet feed the algorithm blue sky thinking,Hard stop data-point a loss a day will keep you focus,5,,
Human Resources  ,Let us wax poetic about the beauty of the cheeseburger. The flavour gracefully dances across your palate like a majestic figure skater on ice.,"They say you’re never supposed to meet your idols. In this case, it’s a good thing your idol is inanimate.",Cheeseburgers are never going to give you up or let you down. They’ll also never run around or desert you.,"They’ll never make you cry, unless it’s from sheer joy. Cheeseburgers certainly won’t say goodbye either.",7,,
Law  ,Cheeseburgers make your knees weak and your soul tingle.,A great cheeseburger is a gastronomical event with so many varieties you couldn’t get tired of it if you tried.,There’s cheesy incarnation waiting for you no matter what your palate preferences are.,"Unless you’re vegan, in which case we’re sorry for your loss.",24,,
Legislative Reference  ,"Bacon ipsum dolor amet alcatra chuck prosciutto short loin capicola, short ribs burgdoggen ham chislic fatback pig flank kevin pork belly ribeye.",Doner beef fatback salami shankle rump. Fatback turducken filet mignon t-bone short loin pastrami. ,"Turducken spare ribs sausage fatback. Frankfurter buffalo ham hock meatloaf cupim sausage, prosciutto beef flank ground round. ","Tongue pork loin tail, alcatra jerky leberkas fatback hamburger chicken.",27,,
Convention Center Hotel  ,"Window-licker. Optics high turnaround rate. Land it in region copy and paste from stack overflow or horsehead offer, for gage [sic] where the industry is heading",give back to the community what weâ€™ve learned. Quarterly sales are at an all-time low value prop,"let's circle back to that. Teams were able to drive adoption and awareness curate, yet you must be muted",,8,,
Mayor's Office  ,"No need to talk to users, just base it on the space calculator","ping the boss and circle back or locked and loaded,",yet feed the algorithm blue sky thinking,Hard stop data-point a loss a day will keep you focus,26,,
Planning  ,Let us wax poetic about the beauty of the cheeseburger. The flavour gracefully dances across your palate like a majestic figure skater on ice.,"They say you’re never supposed to meet your idols. In this case, it’s a good thing your idol is inanimate.",Cheeseburgers are never going to give you up or let you down. They’ll also never run around or desert you.,"They’ll never make you cry, unless it’s from sheer joy. Cheeseburgers certainly won’t say goodbye either.",26,,
Municipal and Zoning Appeals  ,Cheeseburgers make your knees weak and your soul tingle.,A great cheeseburger is a gastronomical event with so many varieties you couldn’t get tired of it if you tried.,There’s cheesy incarnation waiting for you no matter what your palate preferences are.,"Unless you’re vegan, in which case we’re sorry for your loss.",12,,
Police  ,"Bacon ipsum dolor amet alcatra chuck prosciutto short loin capicola, short ribs burgdoggen ham chislic fatback pig flank kevin pork belly ribeye.",Doner beef fatback salami shankle rump. Fatback turducken filet mignon t-bone short loin pastrami. ,"Turducken spare ribs sausage fatback. Frankfurter buffalo ham hock meatloaf cupim sausage, prosciutto beef flank ground round. ","Tongue pork loin tail, alcatra jerky leberkas fatback hamburger chicken.",30,,
Public Works  ,"Window-licker. Optics high turnaround rate. Land it in region copy and paste from stack overflow or horsehead offer, for gage [sic] where the industry is heading",give back to the community what weâ€™ve learned. Quarterly sales are at an all-time low value prop,"let's circle back to that. Teams were able to drive adoption and awareness curate, yet you must be muted",,45,,
Parks & Recreation,"No need to talk to users, just base it on the space calculator","ping the boss and circle back or locked and loaded,",yet feed the algorithm blue sky thinking,Hard stop data-point a loss a day will keep you focus,14,,
Sheriff  ,Let us wax poetic about the beauty of the cheeseburger. The flavour gracefully dances across your palate like a majestic figure skater on ice.,"They say you’re never supposed to meet your idols. In this case, it’s a good thing your idol is inanimate.",Cheeseburgers are never going to give you up or let you down. They’ll also never run around or desert you.,"They’ll never make you cry, unless it’s from sheer joy. Cheeseburgers certainly won’t say goodbye either.",19,,
State's Attorney  ,"Bacon ipsum dolor amet alcatra chuck prosciutto short loin capicola, short ribs burgdoggen ham chislic fatback pig flank kevin pork belly ribeye.",Doner beef fatback salami shankle rump. Fatback turducken filet mignon t-bone short loin pastrami. ,"Turducken spare ribs sausage fatback. Frankfurter buffalo ham hock meatloaf cupim sausage, prosciutto beef flank ground round. ","Tongue pork loin tail, alcatra jerky leberkas fatback hamburger chicken.",20,,
Transportation  ,Let us wax poetic about the beauty of the cheeseburger. The flavour gracefully dances across your palate like a majestic figure skater on ice.,"They say you’re never supposed to meet your idols. In this case, it’s a good thing your idol is inanimate.",Cheeseburgers are never going to give you up or let you down. They’ll also never run around or desert you.,"They’ll never make you cry, unless it’s from sheer joy. Cheeseburgers certainly won’t say goodbye either.",16,,
